VehId,Trip,window_id,duration_s,sample_count,mean_speed_kmh,max_speed_kmh,std_speed_kmh,mean_pos_accel_ms2,max_pos_accel_ms2,mean_neg_accel_ms2,min_neg_accel_ms2,hard_braking_events,hard_braking_rate_min,rapid_accel_events,rapid_accel_rate_min,high_jerk_events,idle_ratio,mean_power_kw,total_energy_kwh,cluster_id,cluster_label,pca_x,pca_y
455,2066,1,115.0,98,23.54,45.52,15.59,0.769,1.863,-0.863,-2.046,1,0.52,0,0.0,0,0.194,2.44,0.0649,1,Moderado / Regular,0.6017458776631732,-0.9606867978333427
455,2066,2,120.0,104,31.49,50.64,20.64,0.435,2.021,-0.575,-2.47,2,1.0,1,0.5,0,0.26,2.98,0.0849,1,Moderado / Regular,0.7659148640229863,0.1916536065567526
455,2066,3,120.0,120,44.02,58.44,11.71,0.613,2.368,-0.483,-1.264,0,0.0,2,1.0,0,0.0,3.63,0.1209,2,Agressivo / Dinâmico,1.1021550684146462,-0.4258707058054247
455,2066,4,37.0,37,25.32,39.07,7.52,0.511,1.176,-0.549,-1.344,0,0.0,0,0.0,0,0.0,2.7,0.0277,0,Econômico / Suave,-1.5147249814964496,-0.6713529322116187
455,2071,0,120.0,116,43.63,57.3,14.8,0.545,1.691,-0.427,-1.069,0,0.0,0,0.0,0,0.034,4.34,0.1381,1,Moderado / Regular,-0.09233914054233161,0.4062544757646973
455,2071,1,118.0,102,41.33,75.16,27.4,0.595,1.592,-0.511,-1.519,0,0.0,0,0.0,0,0.196,2.75,0.0836,1,Moderado / Regular,0.8479368309700737,0.9232522768976568
455,2071,2,113.0,89,30.13,69.51,26.77,0.807,1.917,-0.94,-1.843,0,0.0,0,0.0,0,0.27,0.97,0.0304,1,Moderado / Regular,1.5537695109321723,-0.18241345708331103
455,2071,3,116.0,113,44.71,66.77,14.13,0.651,1.57,-0.745,-1.912,0,0.0,0,0.0,0,0.0,3.53,0.1133,1,Moderado / Regular,0.016600908597598052,0.27022078090745644
455,2092,0,120.0,120,64.49,79.16,16.83,0.449,1.826,-0.361,-1.798,0,0.0,0,0.0,0,0.0,9.27,0.3089,0,Econômico / Suave,0.22478714004286418,1.698882206539051
455,2092,1,120.0,111,37.41,66.31,25.41,0.387,0.934,-0.508,-1.252,0,0.0,0,0.0,0,0.108,1.12,0.0388,0,Econômico / Suave,-0.5957997041414067,1.233129577388836
455,2092,2,120.0,102,7.99,20.16,5.06,0.404,0.941,-0.432,-1.263,0,0.0,0,0.0,0,0.167,-0.03,0.0024,0,Econômico / Suave,-2.452032835597548,-1.3986555103632172
455,2092,3,120.0,120,31.8,64.91,20.93,0.453,1.406,-0.443,-0.9,0,0.0,0,0.0,0,0.0,3.85,0.1285,1,Moderado / Regular,-0.3282116425055559,0.4167387352151326
455,2092,4,119.0,103,13.7,60.07,14.54,0.455,1.105,-0.55,-1.838,0,0.0,0,0.0,0,0.233,-2.21,-0.0602,1,Moderado / Regular,-1.3586171659290802,-0.7433994093485878
